Episode,Total Storage Cost,Total Travel Cost,Total Handling Cost,Total Delay Penalty,Total Cost,Total Reward,Total Late Departure,Number of Late Departure,RL Triggers,Shipment to RL,Undelivered Requests,Wait Actions,Reassign Actions
23,154439.53333333327,190858.07220000008,89970.0,18887.283333333333,454154.8888666667,-36743.61003333333,5390,28,9,1,0,15,0
24,153122.04999999993,192325.3917266667,89970.0,19388.116666666665,454805.5583933333,-100383.01926666667,6156,28,10,2,0,41,0
25,168892.83333333326,191487.47878000006,89970.0,27688.666666666664,478038.9787800001,-69269.23266666668,4961,25,9,8,0,35,0
26,148034.88333333327,189352.77543333333,89970.0,16543.616666666665,443901.2754333334,-51957.09465,2234,24,7,1,0,18,0
27,166461.46666666656,194723.36766000002,89970.0,27124.466666666664,478279.30099333334,-72412.65543333335,5999,28,10,1,0,43,0
28,151967.5333333332,198456.22920333335,89970.0,19030.316666666666,459424.0792033334,-129942.44173666672,1649,20,10,8,0,57,0
29,148989.69999999992,191964.42944000007,89970.0,16891.6,447815.7294400001,-47627.71081666668,2103,23,11,3,0,25,0
30,156423.83333333317,190052.29446666676,89970.0,22848.75,459294.8778000002,-101357.99075999999,6008,27,11,5,0,54,0
31,148861.04999999984,191754.06260666667,89970.0,16701.766666666663,447286.87927333324,-63172.70735333333,3877,32,11,1,0,24,0
32,153371.4499999999,189188.4319266667,89970.0,21015.5,453545.3819266667,-39377.607533333336,4429,34,12,1,0,24,0
33,149972.0666666667,192279.22147000008,89970.0,19286.483333333334,451507.77147,-75988.87207666668,3580,32,9,3,0,35,0
34,149055.58333333326,191358.73356666675,89970.0,17014.249999999996,447398.5669000001,-72391.666,2975,27,11,4,0,39,0
35,152409.39999999994,189436.2228666667,89970.0,19149.083333333332,450964.70619999996,-83855.10921666666,3273,24,7,2,0,32,0
36,153666.01666666652,192208.307,89970.0,19189.199999999997,455033.5236666667,-172601.88684999995,5258,33,12,11,0,82,0
37,164020.71666666653,190424.4329000001,90138.0,28894.199999999997,473477.34956666664,-127695.47190000002,4858,27,9,11,0,56,0
38,150852.08333333334,189237.42114666675,89970.0,17565.966666666664,447625.47114666674,-129162.76194666667,2944,25,14,16,0,85,0
39,152085.63333333324,188932.78582666675,89970.0,18219.8,449208.21916000015,-77552.58095,4999,31,9,3,0,35,0
40,156231.73333333325,190730.81223333342,89970.0,23017.783333333333,459950.32889999996,-114559.59241666671,4477,28,10,6,0,59,0
41,151608.0999999999,190214.21103333338,89970.0,19030.316666666666,450822.6277000001,-57224.972416666664,2425,24,9,3,0,21,0
42,178936.16666666657,188860.27681333342,90114.0,38511.700000000004,496422.14348000014,-105993.28074999999,4303,30,11,9,0,51,0
43,155890.08333333326,188948.2974800001,89970.0,20096.366666666665,454904.74748,-103686.68715,5220,30,15,18,0,72,0
44,148282.4,188733.7392000001,89970.0,15538.316666666664,442524.45586666674,-50156.53405000001,2832,22,6,0,0,26,0
45,168469.04999999993,193911.0448466667,89970.0,27293.716666666664,479643.8115133335,-86663.91843333333,4284,26,12,7,0,49,0
46,152096.6999999999,189276.56219333343,89970.0,19476.18333333333,450819.44552666665,-65223.29265000001,2653,25,12,2,0,29,0
47,147185.16666666663,190135.5218533334,89970.0,14840.116666666663,442130.8051866666,-117548.70775666666,5326,29,13,20,0,75,0
48,152141.84999999998,193363.71964666666,89970.0,19221.283333333333,454696.8529800001,-149468.74404999995,2820,28,10,9,0,64,0
49,148648.78333333324,192262.34426000007,89970.0,16611.48333333333,447492.6109266667,-106950.33607666666,3180,27,14,1,0,42,0
50,157072.78333333327,188964.43423333342,89970.0,20514.816666666666,456522.0342333335,-87605.77171666667,4631,24,9,2,0,42,0
