Episode,Total Storage Cost,Total Travel Cost,Total Handling Cost,Total Delay Penalty,Total Cost,Total Reward,Total Late Departure,Number of Late Departure,RL Triggers,Shipment to RL,Undelivered Requests,Wait Actions,Reassign Actions
19,156437.79999999996,185992.2151866667,88086.0,26405.36666666667,456921.38185333327,-82061.92593333335,2360,26,10,1,0,30,11
20,151224.1166666666,184906.01936333344,87996.0,23041.433333333334,447167.56936333334,-79914.73503333332,2681,29,11,1,0,35,8
21,167266.1166666666,185950.26307666677,88452.0,38179.03333333333,479847.41307666636,-71839.83933333334,2581,26,7,4,0,22,7
22,182580.79999999987,185800.86573333343,88452.0,50199.53333333334,507033.1990666666,-120015.71255,6745,27,11,27,0,47,11
23,162227.54999999987,185183.19945000016,88056.0,28873.083333333336,464339.83278333326,-38253.493533333334,4691,29,8,0,0,12,3
24,159041.16666666672,185799.40056666685,89928.0,27888.93333333333,462657.5005666668,-108521.87910000003,3678,29,10,3,0,30,15
25,174959.2833333332,185440.66224666682,88668.0,37353.166666666664,486421.1122466666,-67071.33805,5025,26,9,6,0,27,8
26,159030.03333333327,186001.2572766668,87888.0,30417.13333333333,463336.4239433332,-54310.41556666668,2416,31,7,1,0,7,10
27,181962.18333333338,188606.49149333342,89844.0,45864.600000000006,506277.2748266666,-81926.82237333334,6178,32,11,2,0,32,15
28,159224.08333333317,192476.2377900001,87738.0,26811.93333333333,466250.25445666676,-133942.78570666673,1662,22,11,12,0,44,19
29,149072.30000000002,187368.96797333343,88056.0,22717.533333333336,447214.80130666663,-35905.623413333335,2111,27,8,0,0,16,6
30,155471.44999999992,184957.6538100001,88716.0,27523.95,456669.0538099999,-80928.29266000002,8321,30,9,1,0,42,7
31,152296.1499999999,186410.27481666673,88074.0,24985.31666666667,451765.74148333323,-57988.31096333332,2299,29,9,0,0,17,6
32,153482.4333333333,184663.3750833334,87846.0,24873.05,450864.85841666657,-38748.07576666667,3170,30,12,0,0,19,7
33,153799.08333333328,185281.8607900001,88206.0,25715.399999999998,453002.34412333305,-93597.83896000002,3711,32,8,5,0,30,9
34,149369.28333333333,192289.09748333335,88056.0,22812.75,452527.13081666664,-67196.31333333334,1876,25,8,1,0,30,6
35,156719.08333333323,184783.22352333338,88062.0,28251.66666666667,457815.97352333314,-99933.64813333332,5219,28,8,1,0,29,7
36,155127.34999999983,188208.7030033334,88080.0,26018.183333333334,457434.23633666686,-179624.84440333326,5191,29,12,10,0,68,16
37,161458.11666666664,185221.24956666675,88632.0,31235.2,466546.5662333332,-135217.51436666664,4968,28,10,12,0,55,6
38,165049.76666666672,186172.94715000005,87990.0,33701.333333333336,472914.0471499998,-153283.88795,3111,24,16,29,0,72,29
39,169649.71666666653,191519.97860333338,88326.0,40011.45,489507.14527000004,-112865.43041666666,4327,35,10,9,0,30,11
40,162414.06666666656,185476.09591666676,87282.0,29876.2,465048.36258333345,-115108.65571666668,4419,30,10,5,0,48,12
41,152436.9499999999,185763.07518000007,87738.0,25196.966666666667,451134.9918466667,-52608.56631333334,1483,24,7,2,0,15,5
42,178634.28333333338,184387.10221333345,87726.0,42114.71666666666,492862.102213333,-97133.201,4264,30,12,11,0,42,12
43,160732.48333333328,187678.79853000006,90702.0,29991.1,469104.3818633334,-121970.71471666667,3716,31,14,12,0,55,14
44,148143.40000000005,184381.91964333336,88110.0,21778.86666666667,442414.18631,-39688.80131666668,2527,25,6,1,0,24,3
45,182524.36666666658,188451.94088000004,89400.0,43829.5,504205.8075466666,-112742.56453333334,3598,25,11,3,0,29,16
46,155189.9833333334,183992.57796000014,88086.0,26633.483333333334,453902.0446266666,-71432.52523333335,2597,26,11,2,0,30,4
47,158310.26666666663,189574.28995666676,88476.0,30417.75,466778.306623333,-147080.2999733333,5798,34,16,27,0,72,13
48,170474.96666666662,190793.46750333346,88860.0,39161.33333333333,489289.76750333357,-196172.87066666663,2921,31,13,12,0,54,17
49,153413.63333333324,186463.42383000007,88242.0,25848.8,453967.85716333333,-99178.3976,1775,24,11,2,0,32,9
