,Time_Step,Service_ID,Service_week,Demand_ID,Containers_Moved,Demand_Announce_time,Demand_Release_time,Demand_Due_time,Storage_hours,delay_hours,Number of transshipments,storage_cost,delay_penalty,handling_cost,transportation_cost,real_objective,Potential_Services,Potential_Requests,Solution_Number,Objective_Value
70,7,"Barge33, Train27, Train30",0,Request8,12,7,40,152,0.0,0.0,2,0.0,0.0,936.0,2007.0732,2259.0732,275,7,8,2391.0732000000135
71,7,"Barge33, Train28, Truck33",0,Request8,12,7,40,152,0.0,0.0,2,0.0,0.0,936.0,2046.4422000000002,2298.4422000000004,700,7,9,2430.4421999999904
72,7,"Barge33, Train28, Train32",0,Request8,12,7,40,152,0.0,0.0,2,0.0,0.0,936.0,2091.0732,2343.0732,276,7,10,2475.0732000000135
73,8,Barge39,0,Request9,27,8,12,143,54.0,0.0,0,54.0,0.0,162.0,440.22824999999995,2060.22825,263,8,1,2060.2282499999856
74,8,"Barge35, Truck29",0,Request9,27,8,12,143,0.0,0.0,1,0.0,0.0,1134.0,2189.0641499999997,2756.0641499999997,679,8,2,3161.064149999991
75,8,"Barge33, Barge48, Barge49",0,Request9,27,8,12,143,0.0,0.0,2,0.0,0.0,486.0,2055.618,2217.618,258,8,3,3270.6179999999877
76,8,"Barge33, Barge48, Truck32",0,Request9,27,8,12,143,0.0,0.0,2,0.0,0.0,1296.0,1839.7057499999999,2406.70575,674,8,4,3459.7057499999937
77,8,"Barge35, Train29",0,Request9,27,8,12,143,0.0,0.0,1,0.0,0.0,1134.0,3180.4838999999997,3747.4839,261,8,5,4152.483899999992
78,8,"Barge36, Train29",0,Request9,27,8,12,143,0.0,0.0,1,0.0,0.0,1134.0,1884.4839,2451.4838999999997,262,8,6,4152.483899999992
79,8,"Barge33, Barge47, Train29",0,Request9,27,8,12,143,0.0,0.0,2,0.0,0.0,1296.0,2609.7956999999997,3176.7956999999997,257,8,7,4229.795699999988
80,8,Train21,0,Request9,27,8,12,143,0.0,0.0,0,0.0,0.0,972.0,1556.0572499999998,2528.05725,268,8,8,4283.057250000013
81,8,"Barge36, Truck29",0,Request9,27,8,12,143,0.0,0.0,1,0.0,0.0,1134.0,2189.0641499999997,2756.0641499999997,680,8,9,4457.064149999991
82,8,"Barge33, Barge47, Truck29",0,Request9,27,8,12,143,0.0,0.0,2,0.0,0.0,1296.0,3400.37595,3967.37595,672,8,10,5020.375949999987
83,9,"Barge26, Train32",0,Request10,14,9,59,149,23.0,0.0,1,23.0,0.0,588.0,1002.7493,1618.7493,170,9,1,1618.7492999999959
