Shipment,Storage Cost,Handling Cost,Travel Cost,Delay Penalty,Total Cost,Itinerary,Assigned to RL,Missed Service,Wait Actions,Reassign Actions
Request183,2236.53,96.0,253.42,0.0,2585.96,['Barge31'],Yes,0,1,0
Request184,367.8,504.0,731.28,0.0,1603.08,"['Barge45', 'Truck33.45']",No,0,0,0
Request185,120.0,120.0,242.24,0.0,482.24,['Barge20'],No,0,0,0
Request186,520.0,720.0,3223.22,0.0,4463.22,['Train23'],No,0,0,0
Request187,1973.02,138.0,364.29,1200.98,3676.29,['Barge31'],Yes,0,1,0
Request188,77.0,66.0,131.97,0.0,274.97,['Barge46'],No,0,0,0
Request189,2322.8,144.0,380.13,941.2,3788.13,['Barge31'],Yes,0,1,0
Request19,458.38,294.0,828.91,0.0,1581.3,"['Barge45', 'Train33']",No,0,0,0
Request190,763.67,120.0,185.22,203.33,1272.22,"['Barge03', 'Barge48']",No,0,0,0
Request191,308.73,66.0,163.98,0.0,538.71,['Barge26'],No,0,0,0
Request192,229.5,1134.0,1582.49,0.0,2945.99,"['Barge18', 'Truck29.46']",No,0,0,0
Request193,264.37,336.0,439.62,0.0,1039.99,"['Barge33', 'Barge48', 'Truck33.47']",No,0,0,0
Request194,1460.87,816.0,2044.76,193.8,4515.42,"['Barge33', 'Barge48', 'Train33']",No,0,0,0
Request195,2029.87,672.0,488.06,1285.87,4475.79,"['Barge26', 'Train32']",Yes,0,1,0
Request196,1930.5,1080.0,4678.88,0.0,7689.38,['Train15'],Yes,0,1,0
Request197,1024.8,378.0,274.53,21.3,1698.63,"['Barge26', 'Train32']",Yes,0,1,0
Request198,2067.0,360.0,419.26,1120.0,3966.26,"['Barge40', 'Barge48']",No,0,0,0
Request199,572.0,210.0,634.75,175.5,1592.25,"['Barge35', 'Train31']",No,0,0,0
Request2,420.5,1218.0,2598.68,0.0,4237.18,"['Barge17', 'Truck30.2']",No,0,0,0
Request20,290.08,210.0,634.75,121.0,1255.84,"['Barge36', 'Train31']",No,0,0,0
Request200,198.0,66.0,133.23,0.0,397.23,['Barge21'],No,0,0,0
Request21,675.75,630.0,462.6,0.0,1768.35,"['Barge26', 'Train32']",No,0,0,0
Request22,2370.67,1176.0,3554.61,0.0,7101.28,"['Barge35', 'Train31']",No,0,0,0
Request23,672.47,1176.0,1127.67,0.0,2976.13,"['Barge45', 'Truck32.3']",No,0,0,0
Request24,37.5,210.0,448.05,0.0,695.55,"['Barge17', 'Truck30.4']",No,0,0,0
Request25,70.0,60.0,46.58,0.0,176.58,['Barge06'],No,0,0,0
Request26,975.3,1296.0,1122.93,0.0,3394.23,"['Train24', 'Train30']",Yes,0,1,0
Request27,221.0,102.0,205.91,0.0,528.91,['Barge21'],No,0,0,0
Request28,81.03,156.0,396.34,0.0,633.37,['Barge26'],No,0,0,0
Request29,1197.0,882.0,2656.18,0.0,4735.18,"['Barge21', 'Train31']",Yes,0,0,1
Request3,66.0,66.0,51.24,0.0,183.24,['Barge04'],No,0,0,0
Request30,248.75,90.0,181.68,0.0,520.43,['Barge23'],No,0,0,0
Request31,430.5,420.0,308.4,0.0,1158.9,"['Barge26', 'Train32']",No,0,0,0
Request32,4738.5,1134.0,1582.49,3552.3,11007.29,"['Barge21', 'Truck29.19']",Yes,0,0,1
Request33,2334.58,546.0,1164.92,1856.62,5902.12,"['Barge18', 'Truck30.18']",Yes,0,0,1
Request34,846.3,756.0,724.93,0.0,2327.23,"['Barge45', 'Truck32.6']",No,0,0,0
Request35,178.5,714.0,2857.57,0.0,3750.07,"['Barge19', 'Truck30.7']",No,0,0,0
Request36,1579.67,336.0,482.62,0.0,2398.29,"['Barge01', 'Barge39']",No,0,0,0
Request37,1722.5,360.0,517.09,806.0,3405.59,"['Barge01', 'Barge39']",No,0,0,0
Request38,420.57,132.0,335.37,0.0,887.93,['Barge26'],No,0,0,0
Request39,49.5,378.0,806.49,0.0,1233.99,"['Barge17', 'Truck30.8']",No,0,0,0
Request4,1321.1,924.0,678.48,0.0,2923.58,"['Barge26', 'Train32']",No,0,0,0
Request40,88.0,132.0,274.32,0.0,494.32,['Barge22'],No,0,0,0
Request41,203.47,1008.0,4366.95,0.0,5578.42,['Train15'],Yes,0,1,0
